Strategy,InitialState,PlanLength,StatesDiscovered,TimeTaken
BFS,State 1,31,181440,345
GBFS (Man),State 1,45,190,2
GBFS (Mis),State 1,149,1699,3
A* (Man),State 1,31,7884,11
A* (Mis),State 1,31,143000,260
EHC (Man),State 1,47,110,3
EHC (Mis),State 1,191,1093,2
BFS,State 2,31,181440,230
GBFS (Man),State 2,47,147,1
GBFS (Mis),State 2,89,1202,1
A* (Man),State 2,31,7868,6
A* (Mis),State 2,31,143007,200
EHC (Man),State 2,45,66,0
EHC (Mis),State 2,85,379,0
